full_name,abbreviation,certainty,full_name_pointing_to_abbreviation_count,abbreviation_pointing_to_full_name_count,full_names_pointing_to_abbreviation_sum,full_name_pointing_to_abbreviation_share,abbreviations_pointing_to_full_name_sum,abbreviation_pointing_to_full_name_share,frequency_score,frequency_score_normalized,wasserstein_distance,n_departments,n_not_overlapping_departments,penalization_score,department_score,wasserstein_distance_normalized,penalization_score_normalized,department_score_normalized,score,normalized_score
Michael Dick,mi,0.6,3,3,31,0.0967741935483871,82,0.036585365853658534,0.003540519276160503,0.0035114671323451196,0.8036966220522626,12,10,0.8333333333333334,-0.15478092148865163,0.7287465327542769,0.8835274542429286,0.28859608980545876,-0.8921075569378039,0.794855674701468
Michael Dick,midi,0.8,79,79,79,1.0,82,0.9634146341463414,0.9634146341463414,0.9634135674865014,0.4679571388094686,11,3,0.2727272727272727,-0.11500229115899324,0.2648192184462102,0.37982150960520344,0.3131017537215388,-2.0765153212080403,0.32391362492894027
Matthias Roth,mi,0.6,12,12,31,0.3870967741935484,980,0.012244897959183673,0.004739960500329163,0.004710943326665218,0.40193370165745856,19,14,0.7368421052631579,-0.62324230291743,0.17358754207775354,0.7968298449951835,0.0,-0.6047109433266652,0.9091297907573569
Matthias Roth,mro,0.71,824,824,824,1.0,980,0.8408163265306122,0.8408163265306122,0.8408116854718796,0.6016999937788428,27,10,0.37037037037037035,-0.017927986662267748,0.4496260898768338,0.4675540765391015,0.37290447345244726,-1.9237161589243268,0.3846693484729804
Matthias Roth,ttr,0.6,1,1,35,0.02857142857142857,980,0.0010204081632653062,2.915451895043732e-05,0.0,1.0,19,18,0.9473684210526315,0.014011734827918398,1.0,0.9859882651720816,0.39258096995132574,-0.9925809699513257,0.7549056199149023
Matthias Roth,thth,0.3,25,25,207,0.12077294685990338,980,0.025510204081632654,0.0030809425219363107,0.003051876978991092,0.7303797646331005,20,16,0.8,-0.2261406170172069,0.6274367540310462,0.853577371048253,0.24463487994769353,-0.5476867569266847,0.9318036434962099
Matthias Roth,mot,0.6,118,118,118,1.0,980,0.12040816326530612,0.12040816326530612,0.12038251844077087,0.7869395334442337,20,17,0.85,-0.1929110327205107,0.7055914631197555,0.8985024958402662,0.26510599768345805,-0.9854885161242289,0.757725708438476
Manuel Niemann,mi,0.519,4,4,31,0.12903225806451613,17,0.23529411764705882,0.03036053130929791,0.030332261112828895,0.8322295805739516,9,7,0.7777777777777778,-0.06543706192446785,0.7681735869940014,0.8336106489184693,0.343636461414557,-0.8929687225273859,0.7945132596142103
Manuel Niemann,lin,0.437,13,13,50,0.26,17,0.7647058823529411,0.1988235294117647,0.1988001708161617,0.9291497975708501,10,8,0.8,0.04852129243432446,0.9020986634825775,0.853577371048253,0.4138406164898508,-1.0496407873060125,0.7322175996609831
Mathias Orbeck,mi,0.505,5,5,31,0.16129032258064516,120,0.041666666666666664,0.006720430107526881,0.00669147067518505,0.7860607307681001,12,10,0.8333333333333334,-0.17915032719531898,0.7043771270476096,0.8835274542429286,0.27358329371034185,-0.7852747643855269,0.8373343343533591
Mathias Orbeck,mabe,0.6,1,1,20,0.05,120,0.008333333333333333,0.0004166666666666667,0.000387523445775873,1.0,9,8,0.8888888888888888,0.06655574043261236,1.0,0.9334442595673876,0.4249507557253025,-1.0253382791710783,0.7418807185132402
Mathias Orbeck,mo,0.9,109,109,109,1.0,120,0.9083333333333333,0.9083333333333333,0.9083306607578452,0.7540390154343055,9,6,0.6666666666666666,-0.07364775556499592,0.6601292827045548,0.7337770382695508,0.3385782556089474,-2.1469089163667925,0.29592385232275836
Mathias Orbeck,beck,0.3,5,5,36,0.1388888888888889,120,0.041666666666666664,0.005787037037037037,0.00575805039127585,0.7037889518413597,9,6,0.6666666666666666,-0.14308366706792242,0.5906933712016283,0.7337770382695508,0.29580219477186204,-0.6015602451631379,0.9103825656007067
Robin Seidler,bis,0.6,3,3,108,0.027777777777777776,3,1.0,0.027777777777777776,0.027749432280176616,1.0,6,5,0.8333333333333334,0.11647254575707144,1.0,0.8835274542429286,0.45570205221058036,-1.083451484490757,0.7187738520625937
Birgit Schöppenthau,bis,0.9,101,101,108,0.9351851851851852,101,1.0,0.9351851851851852,0.9351832954853452,0.8319080197643482,5,2,0.4,0.27355287916420606,0.7677292518763525,0.4941763727121465,0.5524715444329161,-2.3876548399182616,0.20019889835678556
Bastian Schröder,bis,0.727,4,4,108,0.037037037037037035,4,1.0,0.037037037037037035,0.03700896149655589,,10,10,,0.0,,,0.3839490270782652,-1.147957988574821,0.6931248938461413
Christin Grödel,cgr,0.506,27,27,34,0.7941176470588235,645,0.04186046511627907,0.033242134062927496,0.03321394788064997,,2,2,,0.0,,,0.3839490270782652,-0.9231629749589153,0.7825074761666364
